Date, Open, High, Low, Close
04/23/03, 219.48, 220.77, 216.85, 219.48
04/22/03, 219.64, 220.63, 215.51, 219.64
04/21/03, 217.20, 219.05, 215.43, 217.20
04/17/03, 217.19, 217.91, 214.77, 217.19
04/16/03, 215.71, 218.20, 214.51, 215.71
04/15/03, 216.82, 217.43, 213.17, 216.82
04/14/03, 213.89, 214.49, 211.05, 213.89
04/11/03, 210.85, 214.13, 209.79, 210.85
04/10/03, 211.68, 212.38, 209.20, 211.68
04/09/03, 210.04, 213.32, 208.69, 210.04
04/08/03, 210.35, 212.89, 209.58, 210.35
04/07/03, 211.10, 216.11, 210.63, 211.10
04/04/03, 211.79, 212.28, 208.05, 211.79
04/03/03, 208.71, 211.53, 207.37, 208.71
04/02/03, 209.93, 213.29, 209.12, 209.93
04/01/03, 210.22, 211.25, 206.90, 210.22
03/31/03, 208.00, 210.96, 206.38, 208.00
